des(0, 17109, 19683)
(15407, "x3", 15434)
(15407, "x5", 15650)
(15407, "x6", 16136)
(16136, "x-won", 19683)
(98, "x8", 6659)
(6659, "o3", 6713)
(6713, "x5", 6956)
(6713, "x6", 7442)
(7442, "x-won", 19683)
(6713, "x7", 8900)
(6659, "o5", 7145)
(7145, "x3", 7172)
(7145, "x6", 7874)
(7874, "x-won", 19683)
(7145, "x7", 9332)
(6659, "o6", 8117)
(8117, "x3", 8144)
(8117, "x5", 8360)
(8117, "x7", 10304)
(6659, "o7", 11033)
(11033, "x3", 11060)
(11033, "x5", 11276)
(11033, "x6", 11762)
(11762, "x-won", 19683)
(92, "o3", 146)
(146, "x1", 149)
(146, "x5", 389)
(389, "o1", 395)
(389, "o6", 1847)
(1847, "o-won", 19683)
(389, "o7", 4763)
(4763, "x1", 4766)
(4763, "x6", 5492)
(5492, "x-won", 19683)
(4763, "x8", 11324)
(11324, "x-won", 19683)
(389, "o8", 13511)
(13511, "x1", 13514)
(13511, "x6", 14240)
(14240, "x-won", 19683)
(13511, "x7", 15698)
(15698, "o1", 15704)
(15698, "o6", 17156)
(17156, "o-won", 19683)
(146, "x6", 875)
(875, "x-won", 19683)
(146, "x7", 2333)
(2333, "o1", 2339)
(2333, "o5", 2819)
(2819, "x1", 2822)
(2819, "x6", 3548)
(3548, "x-won", 19683)
(2819, "x8", 9380)
(9380, "o1", 9386)
(9380, "o6", 10838)
(10838, "o-won", 19683)
(2333, "o6", 3791)
(3791, "o-won", 19683)
(2333, "o8", 15455)
(15455, "x1", 15458)
(15455, "x5", 15698)
(15455, "x6", 16184)
(16184, "x-won", 19683)
(146, "x8", 6707)
(6707, "o1", 6713)
(6707, "o5", 7193)
(7193, "x1", 7196)
(7193, "x6", 7922)
(7922, "x-won", 19683)
(7193, "x7", 9380)
(6707, "o6", 8165)
(8165, "o-won", 19683)
(6707, "o7", 11081)
(11081, "x1", 11084)
(11081, "x5", 11324)
(11081, "x6", 11810)
(11810, "x-won", 19683)
(92, "o5", 578)
(578, "x1", 581)
(578, "x3", 605)
(578, "x6", 1307)
(1307, "x-won", 19683)
(578, "x7", 2765)
(2765, "o1", 2771)
(2765, "o3", 2819)
(2765, "o6", 4223)
(4223, "x1", 4226)
(4223, "x3", 4250)
(4223, "x8", 10784)
(10784, "o1", 10790)
(10784, "o3", 10838)
(2765, "o8", 15887)
(15887, "x1", 15890)
(15887, "x3", 15914)
(15887, "x6", 16616)
(16616, "x-won", 19683)
(578, "x8", 7139)
(7139, "o1", 7145)
(7139, "o3", 7193)
(7139, "o6", 8597)
(8597, "x1", 8600)
(8597, "x3", 8624)
(8597, "x7", 10784)
(7139, "o7", 11513)
(11513, "x1", 11516)
(11513, "x3", 11540)
(11513, "x6", 12242)
(12242, "x-won", 19683)
(92, "o6", 1550)
(1550, "x1", 1553)
(1550, "x3", 1577)
(1550, "x5", 1793)
(1793, "o1", 1799)
(1793, "o3", 1847)
(1793, "o7", 6167)
(6167, "x1", 6170)
(6167, "x3", 6194)
(6167, "x8", 12728)
(12728, "x-won", 19683)
(1793, "o8", 14915)
(14915, "x1", 14918)
(14915, "x3", 14942)
(14915, "x7", 17102)
(17102, "o1", 17108)
(17102, "o3", 17156)
(1550, "x7", 3737)
(3737, "o1", 3743)
(3737, "o3", 3791)
(3737, "o5", 4223)
(3737, "o8", 16859)
(16859, "x1", 16862)
(16859, "x3", 16886)
(16859, "x5", 17102)
(1550, "x8", 8111)
(8111, "o1", 8117)
(8111, "o3", 8165)
(8111, "o5", 8597)
(8111, "o7", 12485)
(12485, "x1", 12488)
(12485, "x3", 12512)
(12485, "x5", 12728)
(92, "o7", 4466)
(4466, "x1", 4469)
(4466, "x3", 4493)
(4466, "x5", 4709)
(4709, "o1", 4715)
(4709, "o3", 4763)
(4709, "o6", 6167)
(4709, "o8", 17831)
(17831, "x1", 17834)
(17831, "x3", 17858)
(17831, "x6", 18560)
(18560, "x-won", 19683)
(4466, "x6", 5195)
(5195, "x-won", 19683)
(4466, "x8", 11027)
(11027, "o1", 11033)
(11027, "o3", 11081)
(11027, "o5", 11513)
(11027, "o6", 12485)
(92, "o8", 13214)
(13214, "x1", 13217)
(13214, "x3", 13241)
(13214, "x5", 13457)
(13457, "o1", 13463)
(13457, "o3", 13511)
(13457, "o6", 14915)
(13457, "o7", 17831)
(13214, "x6", 13943)
(13943, "x-won", 19683)
(13214, "x7", 15401)
(15401, "o1", 15407)
(15401, "o3", 15455)
(15401, "o5", 15887)
(15401, "o6", 16859)
(11, "x5", 254)
(254, "o1", 260)
(260, "x3", 287)
(260, "x4", 341)
(260, "x6", 989)
(989, "o3", 1043)
(1043, "x4", 1124)
(1043, "x7", 3230)
(3230, "o4", 3392)
(3392, "x8", 9953)
(9953, "x-won", 19683)
(3230, "o8", 16352)
(16352, "x4", 16433)
(1043, "x8", 7604)
(7604, "x-won", 19683)
(989, "o4", 1151)
(1151, "x3", 1178)
(1151, "x7", 3338)
(3338, "o3", 3392)
(3338, "o8", 16460)
(16460, "o-won", 19683)
(1151, "x8", 7712)
(7712, "x-won", 19683)
(989, "o7", 5363)
(5363, "x3", 5390)
(5363, "x4", 5444)
(5363, "x8", 11924)
(11924, "x-won", 19683)
(989, "o8", 14111)
(14111, "x3", 14138)
(14111, "x4", 14192)
(14111, "x7", 16298)
(16298, "o3", 16352)
(16298, "o4", 16460)
(260, "x7", 2447)
(2447, "o3", 2501)
(2501, "x4", 2582)
(2501, "x6", 3230)
(2501, "x8", 9062)
(9062, "x-won", 19683)
(2447, "o4", 2609)
(2609, "x3", 2636)
(2609, "x6", 3338)
(2609, "x8", 9170)
(9170, "x-won", 19683)
(2447, "o6", 3905)
(3905, "x3", 3932)
(3905, "x4", 3986)
(3905, "x8", 10466)
(10466, "x-won", 19683)
(2447, "o8", 15569)
(15569, "x3", 15596)
(15569, "x4", 15650)
(15569, "x6", 16298)
(260, "x8", 6821)
(6821, "x-won", 19683)
(254, "o3", 308)
(308, "x1", 311)
(308, "x4", 389)
(308, "x6", 1037)
(1037, "o1", 1043)
(1037, "o4", 1199)
(1199, "x1", 1202)
(1199, "x7", 3386)
(3386, "o1", 3392)
(3386, "o8", 16508)
(16508, "o-won", 19683)
(1199, "x8", 7760)
(7760, "x-won", 19683)
(1037, "o7", 5411)
(5411, "x1", 5414)
(5411, "x4", 5492)
(5411, "x8", 11972)
(11972, "x-won", 19683)
(1037, "o8", 14159)
(14159, "x1", 14162)
(14159, "x4", 14240)
(14159, "x7", 16346)
(16346, "o1", 16352)
(16346, "o4", 16508)
(308, "x7", 2495)
(2495, "o1", 2501)
(2495, "o4", 2657)
(2657, "x1", 2660)
(2657, "x6", 3386)
(2657, "x8", 9218)
(9218, "x-won", 19683)
(2495, "o6", 3953)
(3953, "o-won", 19683)
(2495, "o8", 15617)
(15617, "x1", 15620)
(15617, "x4", 15698)
(15617, "x6", 16346)
(308, "x8", 6869)
(6869, "x-won", 19683)
(254, "o4", 416)
(416, "x1", 419)
(416, "x3", 443)
(416, "x6", 1145)
(1145, "o1", 1151)
(1145, "o3", 1199)
(1145, "o7", 5519)
(5519, "x1", 5522)
(5519, "x3", 5546)
(5519, "x8", 12080)
(12080, "x-won", 19683)
(1145, "o8", 14267)
(14267, "o-won", 19683)
(416, "x7", 2603)
(2603, "o1", 2609)
(2603, "o3", 2657)
(2603, "o6", 4061)
(4061, "x1", 4064)
(4061, "x3", 4088)
(4061, "x8", 10622)
(10622, "x-won", 19683)
(2603, "o8", 15725)
(15725, "o-won", 19683)
(416, "x8", 6977)
(6977, "x-won", 19683)
(254, "o6", 1712)
(1712, "x1", 1715)
(1712, "x3", 1739)
(1712, "x4", 1793)
(1712, "x7", 3899)
(3899, "o1", 3905)
(3899, "o3", 3953)
(3899, "o4", 4061)
(3899, "o8", 17021)
(17021, "x1", 17024)
(17021, "x3", 17048)
(17021, "x4", 17102)
(1712, "x8", 8273)
(8273, "x-won", 19683)
(254, "o7", 4628)
(4628, "x1", 4631)
(4628, "x3", 4655)
(4628, "x4", 4709)
(4628, "x6", 5357)
(5357, "o1", 5363)
(5357, "o3", 5411)
(5357, "o4", 5519)
(5357, "o8", 18479)
(18479, "x1", 18482)
(18479, "x3", 18506)
(18479, "x4", 18560)
(4628, "x8", 11189)
(11189, "x-won", 19683)
(254, "o8", 13376)
(13376, "x1", 13379)
(13376, "x3", 13403)
(13376, "x4", 13457)
(13376, "x6", 14105)
(14105, "o1", 14111)
(14105, "o3", 14159)
(14105, "o4", 14267)
(14105, "o7", 18479)
(13376, "x7", 15563)
(15563, "o1", 15569)
(15563, "o3", 15617)
(15563, "o4", 15725)
(15563, "o6", 17021)
(11, "x6", 740)
(740, "o1", 746)
(746, "x3", 773)
(746, "x4", 827)
(746, "x5", 989)
(746, "x7", 2933)
(2933, "o3", 2987)
(2987, "x4", 3068)
(2987, "x5", 3230)
(2987, "x8", 9548)
(9548, "x-won", 19683)
(2933, "o4", 3095)
(3095, "x3", 3122)
(3095, "x5", 3338)
(3095, "x8", 9656)
(9656, "x-won", 19683)
(2933, "o5", 3419)
(3419, "x3", 3446)
(3419, "x4", 3500)
(3419, "x8", 9980)
(9980, "x-won", 19683)
(2933, "o8", 16055)
(16055, "x3", 16082)
(16055, "x4", 16136)
(16055, "x5", 16298)
(746, "x8", 7307)
(7307, "o3", 7361)
(7361, "x4", 7442)
(7361, "x5", 7604)
(7361, "x7", 9548)
(7307, "o4", 7469)
(7469, "x3", 7496)
(7469, "x5", 7712)
(7469, "x7", 9656)
(7307, "o5", 7793)
(7793, "x3", 7820)
(7793, "x4", 7874)
(7793, "x7", 9980)
(7307, "o7", 11681)
(11681, "x3", 11708)
(11681, "x4", 11762)
(11681, "x5", 11924)
(740, "o3", 794)
(794, "x1", 797)
(794, "x4", 875)
(794, "x5", 1037)
(794, "x7", 2981)
(2981, "o1", 2987)
(2981, "o4", 3143)
(3143, "x1", 3146)
(3143, "x5", 3386)
(3143, "x8", 9704)
(9704, "x-won", 19683)
(2981, "o5", 3467)
(3467, "x1", 3470)
(3467, "x4", 3548)
(3467, "x8", 10028)
(10028, "x-won", 19683)
(2981, "o8", 16103)
(16103, "x1", 16106)
(16103, "x4", 16184)
(16103, "x5", 16346)
(794, "x8", 7355)
(7355, "o1", 7361)
(7355, "o4", 7517)
(7517, "x1", 7520)
(7517, "x5", 7760)
(7517, "x7", 9704)
(7355, "o5", 7841)
(7841, "x1", 7844)
(7841, "x4", 7922)
(7841, "x7", 10028)
(7355, "o7", 11729)
(11729, "x1", 11732)
(11729, "x4", 11810)
(11729, "x5", 11972)
(740, "o4", 902)
(902, "x1", 905)
(902, "x3", 929)
(902, "x5", 1145)
(902, "x7", 3089)
(3089, "o1", 3095)
(3089, "o3", 3143)
(3089, "o5", 3575)
(3575, "x1", 3578)
(3575, "x3", 3602)
(3575, "x8", 10136)
(10136, "x-won", 19683)
(3089, "o8", 16211)
(16211, "o-won", 19683)
(902, "x8", 7463)
(7463, "o1", 7469)
(7463, "o3", 7517)
(7463, "o5", 7949)
(7949, "x1", 7952)
(7949, "x3", 7976)
(7949, "x7", 10136)
(7463, "o7", 11837)
(11837, "x1", 11840)
(11837, "x3", 11864)
(11837, "x5", 12080)
(740, "o5", 1226)
(1226, "x1", 1229)
(1226, "x3", 1253)
(1226, "x4", 1307)
(1226, "x7", 3413)
(3413, "o1", 3419)
(3413, "o3", 3467)
(3413, "o4", 3575)
(3413, "o8", 16535)
(16535, "x1", 16538)
(16535, "x3", 16562)
(16535, "x4", 16616)
(1226, "x8", 7787)
(7787, "o1", 7793)
(7787, "o3", 7841)
(7787, "o4", 7949)
(7787, "o7", 12161)
(12161, "x1", 12164)
(12161, "x3", 12188)
(12161, "x4", 12242)
(740, "o7", 5114)
(5114, "x1", 5117)
(5114, "x3", 5141)
(5114, "x4", 5195)
(5114, "x5", 5357)
(5114, "x8", 11675)
(11675, "o1", 11681)
(11675, "o3", 11729)
(11675, "o4", 11837)
(11675, "o5", 12161)
(740, "o8", 13862)
(13862, "x1", 13865)
(13862, "x3", 13889)
(13862, "x4", 13943)
(13862, "x5", 14105)
(13862, "x7", 16049)
(16049, "o1", 16055)
(16049, "o3", 16103)
(16049, "o4", 16211)
(16049, "o5", 16535)
(11, "x7", 2198)
(2198, "o1", 2204)
(2204, "x3", 2231)
(2204, "x4", 2285)
(2204, "x5", 2447)
(2204, "x6", 2933)
(2204, "x8", 8765)
(8765, "o3", 8819)
(8819, "x4", 8900)
(8819, "x5", 9062)
(8819, "x6", 9548)
(8765, "o4", 8927)
(8927, "x3", 8954)
(8927, "x5", 9170)
(8927, "x6", 9656)
(8765, "o5", 9251)
(9251, "x3", 9278)
(9251, "x4", 9332)
(9251, "x6", 9980)
(8765, "o6", 10223)
(10223, "x3", 10250)
(10223, "x4", 10304)
(10223, "x5", 10466)
(2198, "o3", 2252)
(2252, "x1", 2255)
(2252, "x4", 2333)
(2252, "x5", 2495)
(2252, "x6", 2981)
(2252, "x8", 8813)
(8813, "o1", 8819)
(8813, "o4", 8975)
(8975, "x1", 8978)
(8975, "x5", 9218)
(8975, "x6", 9704)
(8813, "o5", 9299)
(9299, "x1", 9302)
(9299, "x4", 9380)
(9299, "x6", 10028)
(8813, "o6", 10271)
(10271, "o-won", 19683)
(2198, "o4", 2360)
(2360, "x1", 2363)
(2360, "x3", 2387)
(2360, "x5", 2603)
(2360, "x6", 3089)
(2360, "x8", 8921)
(8921, "o1", 8927)
(8921, "o3", 8975)
(8921, "o5", 9407)
(9407, "x1", 9410)
(9407, "x3", 9434)
(9407, "x6", 10136)
(8921, "o6", 10379)
(10379, "x1", 10382)
(10379, "x3", 10406)
(10379, "x5", 10622)
(2198, "o5", 2684)
(2684, "x1", 2687)
(2684, "x3", 2711)
(2684, "x4", 2765)
(2684, "x6", 3413)
(2684, "x8", 9245)
(9245, "o1", 9251)
(9245, "o3", 9299)
(9245, "o4", 9407)
(9245, "o6", 10703)
(10703, "x1", 10706)
(10703, "x3", 10730)
(10703, "x4", 10784)
(2198, "o6", 3656)
(3656, "x1", 3659)
(3656, "x3", 3683)
(3656, "x4", 3737)
(3656, "x5", 3899)
(3656, "x8", 10217)
(10217, "o1", 10223)
(10217, "o3", 10271)
(10217, "o4", 10379)
(10217, "o5", 10703)
(2198, "o8", 15320)
(15320, "x1", 15323)
(15320, "x3", 15347)
(15320, "x4", 15401)
(15320, "x5", 15563)
(15320, "x6", 16049)
(11, "x8", 6572)
(6572, "o1", 6578)
(6578, "x3", 6605)
(6578, "x4", 6659)
(6578, "x5", 6821)
(6578, "x6", 7307)
(6578, "x7", 8765)
(6572, "o3", 6626)
(6626, "x1", 6629)
(6626, "x4", 6707)
(6626, "x5", 6869)
(6626, "x6", 7355)
(6626, "x7", 8813)
(6572, "o4", 6734)
(6734, "x1", 6737)
(6734, "x3", 6761)
(6734, "x5", 6977)
(6734, "x6", 7463)
(6734, "x7", 8921)
(6572, "o5", 7058)
(7058, "x1", 7061)
(7058, "x3", 7085)
(7058, "x4", 7139)
(7058, "x6", 7787)
(7058, "x7", 9245)
(6572, "o6", 8030)
(8030, "x1", 8033)
(8030, "x3", 8057)
(8030, "x4", 8111)
(8030, "x5", 8273)
(8030, "x7", 10217)
(6572, "o7", 10946)
(10946, "x1", 10949)
(10946, "x3", 10973)
(10946, "x4", 11027)
(10946, "x5", 11189)
(10946, "x6", 11675)
(9, "o1", 15)
(15, "x0", 16)
(15, "x3", 42)
(42, "o0", 44)
(42, "o4", 204)
(204, "x0", 205)
(204, "x5", 447)
(447, "o0", 449)
(447, "o6", 1905)
(1905, "x0", 1906)
(1905, "x7", 4092)
(4092, "o0", 4094)
(4092, "o8", 17214)
(17214, "x0", 17215)
(1905, "x8", 8466)
(8466, "x-won", 19683)
(447, "o7", 4821)
(4821, "o-won", 19683)
(447, "o8", 13569)
(13569, "x0", 13570)
(13569, "x6", 14298)
(14298, "o0", 14300)
(14298, "o7", 18672)
(18672, "o-won", 19683)
(13569, "x7", 15756)
(15756, "o0", 15758)
(15756, "o6", 17214)
(204, "x6", 933)
(933, "o0", 935)
(933, "o5", 1419)
(1419, "x0", 1420)
(1419, "x7", 3606)
(3606, "o0", 3608)
(3606, "o8", 16728)
(16728, "x0", 16729)
(1419, "x8", 7980)
(7980, "o0", 7982)
(7980, "o7", 12354)
(12354, "o-won", 19683)
(933, "o7", 5307)
(5307, "o-won", 19683)
(933, "o8", 14055)
(14055, "x0", 14056)
(14055, "x5", 14298)
(14055, "x7", 16242)
(16242, "o0", 16244)
(16242, "o5", 16728)
(204, "x7", 2391)
(2391, "o0", 2393)
(2391, "o5", 2877)
(2877, "x0", 2878)
(2877, "x6", 3606)
(2877, "x8", 9438)
(9438, "o0", 9440)
(9438, "o6", 10896)
(10896, "x0", 10897)
(2391, "o6", 3849)
(3849, "x0", 3850)
(3849, "x5", 4092)
(3849, "x8", 10410)
(10410, "o0", 10412)
(10410, "o5", 10896)
(2391, "o8", 15513)
(15513, "x0", 15514)
(15513, "x5", 15756)
(15513, "x6", 16242)
(204, "x8", 6765)
(6765, "o0", 6767)
(6765, "o5", 7251)
(7251, "x0", 7252)
(7251, "x6", 7980)
(7251, "x7", 9438)
(6765, "o6", 8223)
(8223, "x0", 8224)
(8223, "x5", 8466)
(8223, "x7", 10410)
(6765, "o7", 11139)
(11139, "o-won", 19683)
(42, "o5", 528)
(528, "x0", 529)
(528, "x4", 609)
(609, "o0", 611)
(609, "o6", 2067)
(2067, "x0", 2068)
(2067, "x7", 4254)
(4254, "o0", 4256)
(4254, "o8", 17376)
(17376, "x0", 17377)
(2067, "x8", 8628)
(8628, "o0", 8630)
(8628, "o7", 13002)
(13002, "x0", 13003)
(609, "o7", 4983)
(4983, "x0", 4984)
(4983, "x6", 5712)
(5712, "x-won", 19683)
(4983, "x8", 11544)
(11544, "o0", 11546)
(11544, "o6", 13002)
(609, "o8", 13731)
(13731, "x0", 13732)
(13731, "x6", 14460)
(14460, "x-won", 19683)
(13731, "x7", 15918)
(15918, "o0", 15920)
(15918, "o6", 17376)
(528, "x6", 1257)
(1257, "o0", 1259)
(1257, "o4", 1419)
(1257, "o7", 5631)
(5631, "x0", 5632)
(5631, "x4", 5712)
(5631, "x8", 12192)
(12192, "o0", 12194)
(12192, "o4", 12354)
(1257, "o8", 14379)
(14379, "x0", 14380)
(14379, "x4", 14460)
(14379, "x7", 16566)
(16566, "o0", 16568)
(16566, "o4", 16728)
(528, "x7", 2715)
(2715, "o0", 2717)
(2715, "o4", 2877)
(2715, "o6", 4173)
(4173, "x0", 4174)
(4173, "x4", 4254)
(4173, "x8", 10734)
(10734, "o0", 10736)
(10734, "o4", 10896)
(2715, "o8", 15837)
(15837, "x0", 15838)
(15837, "x4", 15918)
(15837, "x6", 16566)
(528, "x8", 7089)
(7089, "o0", 7091)
(7089, "o4", 7251)
(7089, "o6", 8547)
(8547, "x0", 8548)
(8547, "x4", 8628)
(8547, "x7", 10734)
(7089, "o7", 11463)
(11463, "x0", 11464)
(11463, "x4", 11544)
(11463, "x6", 12192)
(42, "o6", 1500)
(1500, "x0", 1501)
(1500, "x4", 1581)
(1581, "o0", 1583)
(1581, "o5", 2067)
(1581, "o7", 5955)
(5955, "x0", 5956)
(5955, "x5", 6198)
(6198, "x-won", 19683)
(5955, "x8", 12516)
(12516, "o0", 12518)
(12516, "o5", 13002)
(1581, "o8", 14703)
(14703, "x0", 14704)
(14703, "x5", 14946)
(14946, "x-won", 19683)
(14703, "x7", 16890)
(16890, "o0", 16892)
(16890, "o5", 17376)
(1500, "x5", 1743)
(1743, "o0", 1745)
(1743, "o4", 1905)
(1743, "o7", 6117)
(6117, "x0", 6118)
(6117, "x4", 6198)
(6117, "x8", 12678)
(12678, "x-won", 19683)
(1743, "o8", 14865)
(14865, "x0", 14866)
(14865, "x4", 14946)
(14865, "x7", 17052)
(17052, "o0", 17054)
(17052, "o4", 17214)
(1500, "x7", 3687)
(3687, "o0", 3689)
(3687, "o4", 3849)
(3687, "o5", 4173)
(3687, "o8", 16809)
(16809, "x0", 16810)
(16809, "x4", 16890)
(16809, "x5", 17052)
(1500, "x8", 8061)
(8061, "o0", 8063)
(8061, "o4", 8223)
(8061, "o5", 8547)
(8061, "o7", 12435)
(12435, "x0", 12436)
(12435, "x4", 12516)
(12435, "x5", 12678)
(42, "o7", 4416)
(4416, "x0", 4417)
(4416, "x4", 4497)
(4497, "o0", 4499)
(4497, "o5", 4983)
(4497, "o6", 5955)
(4497, "o8", 17619)
(17619, "x0", 17620)
(17619, "x5", 17862)
(17862, "x-won", 19683)
(17619, "x6", 18348)
(18348, "x-won", 19683)
(4416, "x5", 4659)
(4659, "o0", 4661)
(4659, "o4", 4821)
(4659, "o6", 6117)
(4659, "o8", 17781)
(17781, "x0", 17782)
(17781, "x4", 17862)
(17781, "x6", 18510)
(18510, "o0", 18512)
(18510, "o4", 18672)
(4416, "x6", 5145)
(5145, "o0", 5147)
(5145, "o4", 5307)
(5145, "o5", 5631)
(5145, "o8", 18267)
(18267, "x0", 18268)
(18267, "x4", 18348)
(18267, "x5", 18510)
(4416, "x8", 10977)
(10977, "o0", 10979)
(10977, "o4", 11139)
(10977, "o5", 11463)
(10977, "o6", 12435)
(42, "o8", 13164)
(13164, "x0", 13165)
(13164, "x4", 13245)
(13245, "o0", 13247)
(13245, "o5", 13731)
(13245, "o6", 14703)
(13245, "o7", 17619)
(13164, "x5", 13407)
(13407, "o0", 13409)
(13407, "o4", 13569)
(13407, "o6", 14865)
(13407, "o7", 17781)
(13164, "x6", 13893)
(13893, "o0", 13895)
(13893, "o4", 14055)
(13893, "o5", 14379)
(13893, "o7", 18267)
(13164, "x7", 15351)
(15351, "o0", 15353)
(15351, "o4", 15513)
(15351, "o5", 15837)
(15351, "o6", 16809)
(15, "x4", 96)
(96, "o0", 98)
(96, "o3", 150)
(150, "x0", 151)
(150, "x5", 393)
(393, "o0", 395)
(393, "o6", 1851)
(1851, "x0", 1852)
(1851, "x7", 4038)
(4038, "o0", 4040)
(4038, "o8", 17160)
(17160, "x0", 17161)
(1851, "x8", 8412)
(8412, "x-won", 19683)
(393, "o7", 4767)
(4767, "x0", 4768)
(4767, "x6", 5496)
(5496, "x-won", 19683)
(4767, "x8", 11328)
(11328, "x-won", 19683)
(393, "o8", 13515)
(13515, "x0", 13516)
(13515, "x6", 14244)
(14244, "x-won", 19683)
(13515, "x7", 15702)
(15702, "o0", 15704)
(15702, "o6", 17160)
(150, "x6", 879)
(879, "x-won", 19683)
(150, "x7", 2337)
(2337, "o0", 2339)
(2337, "o5", 2823)
(2823, "x0", 2824)
(2823, "x6", 3552)
(3552, "x-won", 19683)
(2823, "x8", 9384)
(9384, "o0", 9386)
(9384, "o6", 10842)
(10842, "x0", 10843)
(2337, "o6", 3795)
(3795, "x0", 3796)
(3795, "x5", 4038)
(3795, "x8", 10356)
(10356, "o0", 10358)
(10356, "o5", 10842)
(2337, "o8", 15459)
(15459, "x0", 15460)
(15459, "x5", 15702)
(15459, "x6", 16188)
(16188, "x-won", 19683)
(150, "x8", 6711)
(6711, "o0", 6713)
(6711, "o5", 7197)
(7197, "x0", 7198)
(7197, "x6", 7926)
(7926, "x-won", 19683)
(7197, "x7", 9384)
(6711, "o6", 8169)
(8169, "x0", 8170)
(8169, "x5", 8412)
(8169, "x7", 10356)
(6711, "o7", 11085)
(11085, "x0", 11086)
(11085, "x5", 11328)
(11085, "x6", 11814)
(11814, "x-won", 19683)
(96, "o5", 582)
(582, "x0", 583)
(582, "x3", 609)
(582, "x6", 1311)
(1311, "x-won", 19683)
(582, "x7", 2769)
(2769, "o0", 2771)
(2769, "o3", 2823)
(2769, "o6", 4227)
(4227, "x0", 4228)
(4227, "x3", 4254)
(4227, "x8", 10788)
(10788, "o0", 10790)
(10788, "o3", 10842)
(2769, "o8", 15891)
(15891, "x0", 15892)
(15891, "x3", 15918)
(15891, "x6", 16620)
(16620, "x-won", 19683)
(582, "x8", 7143)
(7143, "o0", 7145)
(7143, "o3", 7197)
(7143, "o6", 8601)
(8601, "x0", 8602)
(8601, "x3", 8628)
(8601, "x7", 10788)
(7143, "o7", 11517)
(11517, "x0", 11518)
(11517, "x3", 11544)
(11517, "x6", 12246)
(12246, "x-won", 19683)
(96, "o6", 1554)
(1554, "x0", 1555)
(1554, "x3", 1581)
(1554, "x5", 1797)
(1797, "o0", 1799)
(1797, "o3", 1851)
(1797, "o7", 6171)
(6171, "x0", 6172)
(6171, "x3", 6198)
(6171, "x8", 12732)
(12732, "x-won", 19683)
(1797, "o8", 14919)
(14919, "x0", 14920)
(14919, "x3", 14946)
(14919, "x7", 17106)
(17106, "o0", 17108)
(17106, "o3", 17160)
(1554, "x7", 3741)
(3741, "o0", 3743)
(3741, "o3", 3795)
(3741, "o5", 4227)
(3741, "o8", 16863)
(16863, "x0", 16864)
(16863, "x3", 16890)
(16863, "x5", 17106)
(1554, "x8", 8115)
(8115, "o0", 8117)
(8115, "o3", 8169)
(8115, "o5", 8601)
(8115, "o7", 12489)
(12489, "x0", 12490)
(12489, "x3", 12516)
(12489, "x5", 12732)
(96, "o7", 4470)
(4470, "x0", 4471)
(4470, "x3", 4497)
(4470, "x5", 4713)
(4713, "o0", 4715)
(4713, "o3", 4767)
(4713, "o6", 6171)
(4713, "o8", 17835)
(17835, "x0", 17836)
(17835, "x3", 17862)
(17835, "x6", 18564)
(18564, "x-won", 19683)
(4470, "x6", 5199)
(5199, "x-won", 19683)
(4470, "x8", 11031)
(11031, "o0", 11033)
(11031, "o3", 11085)
(11031, "o5", 11517)
(11031, "o6", 12489)
(96, "o8", 13218)
(13218, "x0", 13219)
(13218, "x3", 13245)
(13218, "x5", 13461)
(13461, "o0", 13463)
(13461, "o3", 13515)
(13461, "o6", 14919)
(13461, "o7", 17835)
(13218, "x6", 13947)
(13947, "x-won", 19683)
(13218, "x7", 15405)
(15405, "o0", 15407)
(15405, "o3", 15459)
(15405, "o5", 15891)
(15405, "o6", 16863)
(15, "x5", 258)
(258, "o0", 260)
(258, "o3", 312)
(312, "x0", 313)
(312, "x4", 393)
(312, "x6", 1041)
(1041, "o0", 1043)
(1041, "o4", 1203)
(1203, "x0", 1204)
(1203, "x7", 3390)
(3390, "o0", 3392)
(3390, "o8", 16512)
(16512, "x0", 16513)
(1203, "x8", 7764)
(7764, "x-won", 19683)
(1041, "o7", 5415)
(5415, "x0", 5416)
(5415, "x4", 5496)
(5415, "x8", 11976)
(11976, "x-won", 19683)
(1041, "o8", 14163)
(14163, "x0", 14164)
(14163, "x4", 14244)
(14163, "x7", 16350)
(16350, "o0", 16352)
(16350, "o4", 16512)
(312, "x7", 2499)
(2499, "o0", 2501)
(2499, "o4", 2661)
(2661, "x0", 2662)
(2661, "x6", 3390)
(2661, "x8", 9222)
(9222, "x-won", 19683)
(2499, "o6", 3957)
(3957, "x0", 3958)
(3957, "x4", 4038)
(3957, "x8", 10518)
(10518, "x-won", 19683)
(2499, "o8", 15621)
(15621, "x0", 15622)
(15621, "x4", 15702)
(15621, "x6", 16350)
(312, "x8", 6873)
(6873, "x-won", 19683)
(258, "o4", 420)
(420, "x0", 421)
(420, "x3", 447)
(420, "x6", 1149)
(1149, "o0", 1151)
(1149, "o3", 1203)
(1149, "o7", 5523)
(5523, "o-won", 19683)
(1149, "o8", 14271)
(14271, "x0", 14272)
(14271, "x3", 14298)
(14271, "x7", 16458)
(16458, "o0", 16460)
(16458, "o3", 16512)
(420, "x7", 2607)
(2607, "o0", 2609)
(2607, "o3", 2661)
(2607, "o6", 4065)
(4065, "x0", 4066)
(4065, "x3", 4092)
(4065, "x8", 10626)
(10626, "x-won", 19683)
(2607, "o8", 15729)
(15729, "x0", 15730)
(15729, "x3", 15756)
